Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms),Running duration (ms)
15:30:00.000+02:00,15:45:00.000+02:00,2,7.1177802085876465,101.01000213623047,1.0,1,1.0935125422163003,1.0935125422163003,1.0935125422163003,153,92372,
15:45:00.000+02:00,16:00:00.000+02:00,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,2,,66.19999694824219,,,0.4095495996056379,0.4095495996056379,0.4095495996056379,94,,
16:30:00.000+02:00,16:45:00.000+02:00,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,6,,227.19027581529105,,,0.6083348509305145,0.6083348509305145,0.6083348509305145,321,,
17:15:00.000+02:00,17:30:00.000+02:00,1,,84.32093040447593,,,,,,119,,
17:30:00.000+02:00,17:45:00.000+02:00,5,,271.8188108700768,,,0.9241302543267608,0.9241302543267608,0.9241302543267608,388,,
17:45:00.000+02:00,18:00:00.000+02:00,5,,150.8000030517578,,,0.5342816388253319,0.5342816388253319,0.5342816388253319,224,,
18:00:00.000+02:00,18:15:00.000+02:00,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,1,,36.61000061035156,,,0.8919194016120767,0.8919194016120767,0.8919194016120767,47,,
20:30:00.000+02:00,20:45:00.000+02:00,,,10.600000381469727,,,2.0657620429992676,2.0657620429992676,2.0657620429992676,13,,
20:45:00.000+02:00,21:00:00.000+02:00,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,,5.880000114440918,,,2.288029670715332,2.288029670715332,2.288029670715332,12,,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,20.190000534057617,,,1.3114722053045889,1.3114722053045889,1.3114722053045889,28,,
23:45:00.000+02:00,00:00:00.000+02:00,1,,21.309999465942383,,,1.0383615809645108,1.0383615809645108,1.0383615809645108,36,,
