Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count
00:00:00.000+01:00,00:15:00.000+01:00,,,18.5,,,1.03014703170757,1.03014703170757,1.03014703170757,29
00:15:00.000+01:00,00:30:00.000+01:00,,,,,,,,,
00:30:00.000+01:00,00:45:00.000+01:00,,,,,,,,,
00:45:00.000+01:00,01:00:00.000+01:00,,,,,,,,,
01:00:00.000+01:00,01:15:00.000+01:00,,,,,,,,,
01:15:00.000+01:00,01:30:00.000+01:00,,,,,,,,,
01:30:00.000+01:00,01:45:00.000+01:00,,,,,,,,,
01:45:00.000+01:00,02:00:00.000+01:00,,,,,,,,,
02:00:00.000+01:00,02:15:00.000+01:00,,,,,,,,,
02:15:00.000+01:00,02:30:00.000+01:00,,,,,,,,,
02:30:00.000+01:00,02:45:00.000+01:00,,,,,,,,,
02:45:00.000+01:00,03:00:00.000+01:00,,,,,,,,,
03:00:00.000+01:00,03:15:00.000+01:00,,,,,,,,,
03:15:00.000+01:00,03:30:00.000+01:00,,,,,,,,,
03:30:00.000+01:00,03:45:00.000+01:00,,,,,,,,,
03:45:00.000+01:00,04:00:00.000+01:00,,,,,,,,,
04:00:00.000+01:00,04:15:00.000+01:00,,,,,,,,,
04:15:00.000+01:00,04:30:00.000+01:00,,,,,,,,,
04:30:00.000+01:00,04:45:00.000+01:00,,,,,,,,,
04:45:00.000+01:00,05:00:00.000+01:00,,,,,,,,,
05:00:00.000+01:00,05:15:00.000+01:00,,,,,,,,,
05:15:00.000+01:00,05:30:00.000+01:00,,,,,,,,,
05:30:00.000+01:00,05:45:00.000+01:00,,,,,,,,,
05:45:00.000+01:00,06:00:00.000+01:00,,,,,,,,,
06:00:00.000+01:00,06:15:00.000+01:00,,,,,,,,,
06:15:00.000+01:00,06:30:00.000+01:00,,,,,,,,,
06:30:00.000+01:00,06:45:00.000+01:00,,,,,,,,,
06:45:00.000+01:00,07:00:00.000+01:00,,,,,,,,,
07:00:00.000+01:00,07:15:00.000+01:00,,,,,,,,,
07:15:00.000+01:00,07:30:00.000+01:00,,,,,,,,,
07:30:00.000+01:00,07:45:00.000+01:00,,,,,,,,,
07:45:00.000+01:00,08:00:00.000+01:00,,,,,,,,,
08:00:00.000+01:00,08:15:00.000+01:00,,,,,,,,,
08:15:00.000+01:00,08:30:00.000+01:00,,,7.300000190734863,,,2.841200351715088,2.841200351715088,2.841200351715088,10
08:30:00.000+01:00,08:45:00.000+01:00,,,8.734778471892197,,,,,,13
08:45:00.000+01:00,09:00:00.000+01:00,15,,704.4914739060341,,,0.8382641082157087,0.9323141226108399,0.7442140938205777,1041
09:00:00.000+01:00,09:15:00.000+01:00,2,,80.43375128418316,,,,,,119
09:15:00.000+01:00,09:30:00.000+01:00,,,,,,,,,
09:30:00.000+01:00,09:45:00.000+01:00,,,29.260000228881836,,,1.1402250013132866,1.1402250013132866,1.1402250013132866,43
09:45:00.000+01:00,10:00:00.000+01:00,,,,,,,,,
10:00:00.000+01:00,10:15:00.000+01:00,,,,,,,,,
10:15:00.000+01:00,10:30:00.000+01:00,1,,22.77155470599109,,,,,,35
10:30:00.000+01:00,10:45:00.000+01:00,7,,197.03844285260266,,,0.4812496795859122,0.4812496795859122,0.4812496795859122,301
10:45:00.000+01:00,11:00:00.000+01:00,,,,,,,,,
11:00:00.000+01:00,11:15:00.000+01:00,,,,,,,,,
11:15:00.000+01:00,11:30:00.000+01:00,,,,,,,,,
11:30:00.000+01:00,11:45:00.000+01:00,,,,,,,,,
11:45:00.000+01:00,12:00:00.000+01:00,,,,,,,,,
12:00:00.000+01:00,12:15:00.000+01:00,,,136.69969606658105,,,0.31603569010383264,0.31603569010383264,0.31603569010383264,190
12:15:00.000+01:00,12:30:00.000+01:00,10,,330.007745544202,,,0.46749975893965706,0.46749975893965706,0.46749975893965706,505
12:30:00.000+01:00,12:45:00.000+01:00,,,162.95661285187794,,,0.2707576064200552,0.2707576064200552,0.2707576064200552,252
12:45:00.000+01:00,13:00:00.000+01:00,,,203.41550655439752,,,0.23664823372412355,0.2727510352283171,0.20054543221993001,306
13:00:00.000+01:00,13:15:00.000+01:00,2,,82.96044752786342,,,0.9980619846911576,0.9980619846911576,0.9980619846911576,128
13:15:00.000+01:00,13:30:00.000+01:00,,,,,,,,,
13:30:00.000+01:00,13:45:00.000+01:00,,,4.1367222678389135,,,,,,6
13:45:00.000+01:00,14:00:00.000+01:00,1,,47.753277121809525,,,0.2529315463623586,0.45593820138202723,0.049924891342689945,73
14:00:00.000+01:00,14:15:00.000+01:00,,,25.18000030517578,,,0.8920413867393044,0.8920413867393044,0.8920413867393044,32
14:15:00.000+01:00,14:30:00.000+01:00,,,,,,,,,
14:30:00.000+01:00,14:45:00.000+01:00,,,,,,,,,
14:45:00.000+01:00,15:00:00.000+01:00,2,,74.05903014172522,,,0.5961692023098503,0.5961692023098503,0.5961692023098503,108
15:00:00.000+01:00,15:15:00.000+01:00,8,,268.6209701634506,,,0.5432139417432044,0.5432139417432044,0.5432139417432044,391
15:15:00.000+01:00,15:30:00.000+01:00,,,,,,,,,
