Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count
00:00:00.000+02:00,00:15:00.000+02:00,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,,10.640000343322754,,,0.02470891915690553,0.02470891915690553,0.02470891915690553,18
08:45:00.000+02:00,09:00:00.000+02:00,6,,300.970078171148,,,0.8042697791379975,0.8042697791379975,0.8042697791379975,411
09:00:00.000+02:00,09:15:00.000+02:00,4,,201.5599244228462,,,0.09758567071751072,0.09758567071751072,0.09758567071751072,275
09:15:00.000+02:00,09:30:00.000+02:00,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,,23.848824378137767,,,,,,36
10:15:00.000+02:00,10:30:00.000+02:00,,,66.57117379080753,,,0.16871882590614473,0.16871882590614473,0.16871882590614473,101
10:30:00.000+02:00,10:45:00.000+02:00,2,,100.0504163404308,,,,,,157
10:45:00.000+02:00,11:00:00.000+02:00,15,,673.089888871347,,,0.7497955397946128,0.822079344105362,0.6775117354838636,1072
11:00:00.000+02:00,11:15:00.000+02:00,13,,694.675788057132,8.0,8,0.7273826489359061,1.0436287142220972,0.41113658364971484,1129
11:15:00.000+02:00,11:30:00.000+02:00,2,,184.62562006422021,1.0,1,0.2586539922474004,0.2586539922474004,0.2586539922474004,299
11:30:00.000+02:00,11:45:00.000+02:00,7,,189.23867588680417,,,0.43973141995804516,0.43973141995804516,0.43973141995804516,297
11:45:00.000+02:00,12:00:00.000+02:00,2,,71.24133509952395,,,,,,112
12:00:00.000+02:00,12:15:00.000+02:00,9,,223.1199951171875,,,0.3989825292039716,0.3989825292039716,0.3989825292039716,336
12:15:00.000+02:00,12:30:00.000+02:00,5,,220.77449859096427,,,0.854346235038164,0.854346235038164,0.854346235038164,348
12:30:00.000+02:00,12:45:00.000+02:00,5,,218.8654855398951,,,0.6953687956603403,0.6953687956603403,0.6953687956603403,345
12:45:00.000+02:00,13:00:00.000+02:00,,,36.9900016784668,,,0.12450608004219921,0.12450608004219921,0.12450608004219921,50
13:00:00.000+02:00,13:15:00.000+02:00,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,,13.84000015258789,,,0.03048670346348704,0.03048670346348704,0.03048670346348704,24
13:30:00.000+02:00,13:45:00.000+02:00,,,16.920000076293945,,,0.12212142794124739,0.12212142794124739,0.12212142794124739,24
13:45:00.000+02:00,14:00:00.000+02:00,,,28.744848767310597,,,,,,45
14:00:00.000+02:00,14:15:00.000+02:00,3,,225.11515184304096,,,0.598539356775176,0.9741492745033928,0.22292943904695922,362
14:15:00.000+02:00,14:30:00.000+02:00,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,8,,241.13999938964844,,,0.45843860158991784,0.45843860158991784,0.45843860158991784,377
14:45:00.000+02:00,15:00:00.000+02:00,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,,24.820506221637217,,,0.030063067287360253,0.030063067287360253,0.030063067287360253,36
15:45:00.000+02:00,16:00:00.000+02:00,12,,348.529486530438,,,0.6986134545676651,1.0512528035607411,0.3459741055745891,539
16:00:00.000+02:00,16:15:00.000+02:00,9,,189.89999389648438,,,0.3175968682537024,0.3175968682537024,0.3175968682537024,299
16:15:00.000+02:00,16:30:00.000+02:00,1,,39.25,,,0.3922920071544071,0.3922920071544071,0.3922920071544071,65
16:30:00.000+02:00,16:45:00.000+02:00,,,19.739999771118164,,,1.9230677403162197,1.9230677403162197,1.9230677403162197,26
16:45:00.000+02:00,17:00:00.000+02:00,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,1,,44.35681763244955,,,,,,70
17:45:00.000+02:00,18:00:00.000+02:00,5,,145.10318908141764,,,0.4643490669344945,0.4643490669344945,0.4643490669344945,230
18:00:00.000+02:00,18:15:00.000+02:00,5,,211.61573088458726,,,0.6889343162048613,0.6889343162048613,0.6889343162048613,300
18:15:00.000+02:00,18:30:00.000+02:00,3,,123.54426133343033,,,0.8327610225050243,0.8327610225050243,0.8327610225050243,184
18:30:00.000+02:00,18:45:00.000+02:00,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,1,,31.989999771118164,,,0.3778445499905602,0.3778445499905602,0.3778445499905602,48
19:00:00.000+02:00,19:15:00.000+02:00,1,,26.110000610351562,,,0.677788142570587,0.677788142570587,0.677788142570587,45
19:15:00.000+02:00,19:30:00.000+02:00,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,7,,431.3091429508067,6.0,6,1.0593589434740396,1.0593589434740396,1.0593589434740396,711
20:30:00.000+02:00,20:45:00.000+02:00,8,,352.770843621459,3.0,3,0.48868598209401637,0.48868598209401637,0.48868598209401637,584
20:45:00.000+02:00,21:00:00.000+02:00,12,,696.6829213292779,9.0,9,0.7802275389497664,1.0511671160740936,0.5092879618254392,1154
21:00:00.000+02:00,21:15:00.000+02:00,,,5.107049068671337,,,,,,8
21:15:00.000+02:00,21:30:00.000+02:00,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,1,,30.8700008392334,,,0.8593991533536236,0.8593991533536236,0.8593991533536236,48
22:00:00.000+02:00,22:15:00.000+02:00,1,,26.850000381469727,,,0.9513484579902997,0.9513484579902997,0.9513484579902997,43
22:15:00.000+02:00,22:30:00.000+02:00,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,1,,25.399999618530273,,,0.7615035184783199,0.7615035184783199,0.7615035184783199,43
