Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count
00:00:00.000+02:00,00:15:00.000+02:00,10,,251.5516286520324,,,0.4665421563103021,0.552372230763814,0.3807120818567902,394
00:15:00.000+02:00,00:30:00.000+02:00,2,,89.26837867218633,,,,,,114
00:30:00.000+02:00,00:45:00.000+02:00,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,1,,29.079999923706055,,,0.8108390136669709,0.8108390136669709,0.8108390136669709,45
02:45:00.000+02:00,02:00:00.000+01:00,1,,27.770000457763672,,,1.5475003837223387,1.5475003837223387,1.5475003837223387,36
02:00:00.000+01:00,02:15:00.000+01:00,,,,,,,,,
02:15:00.000+01:00,02:30:00.000+01:00,,,,,,,,,
02:30:00.000+01:00,02:45:00.000+01:00,8,,399.4599914550781,,,0.8648856430800826,0.8648856430800826,0.8648856430800826,618
02:45:00.000+01:00,03:00:00.000+01:00,8,,350.82000732421875,,,0.7430461903219402,0.7430461903219402,0.7430461903219402,508
03:00:00.000+01:00,03:15:00.000+01:00,,,,,,,,,
03:15:00.000+01:00,03:30:00.000+01:00,1,,37.119998931884766,,,1.2056627254854388,1.2056627254854388,1.2056627254854388,53
03:30:00.000+01:00,03:45:00.000+01:00,,,19.0,,,0.569757852365777,0.569757852365777,0.569757852365777,28
03:45:00.000+01:00,04:00:00.000+01:00,,,,,,,,,
04:00:00.000+01:00,04:15:00.000+01:00,,,,,,,,,
04:15:00.000+01:00,04:30:00.000+01:00,,,,,,,,,
04:30:00.000+01:00,04:45:00.000+01:00,,,,,,,,,
04:45:00.000+01:00,05:00:00.000+01:00,,,,,,,,,
05:00:00.000+01:00,05:15:00.000+01:00,,,,,,,,,
05:15:00.000+01:00,05:30:00.000+01:00,,,,,,,,,
05:30:00.000+01:00,05:45:00.000+01:00,,,,,,,,,
05:45:00.000+01:00,06:00:00.000+01:00,,,,,,,,,
06:00:00.000+01:00,06:15:00.000+01:00,,,,,,,,,
06:15:00.000+01:00,06:30:00.000+01:00,,,,,,,,,
06:30:00.000+01:00,06:45:00.000+01:00,,,,,,,,,
