Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
2023-09-27,103,,4569.130001306534,,,0.7667327670814897,3.179586887359619,0.04457163930702275,6663,
2023-09-28,112,7.71186637878418,5173.030043721199,8.0,8,1.057536908034294,2.995579481124878,0.08994063815608536,8068,100082
2023-09-29,99,14.037776947021484,4357.400004386902,1.0,1,0.7916622134504938,5.682440280914307,0.04642431703272066,6509,182178
2023-09-30,27,26.10322666168213,1844.0617977476584,,,1.1262210943040667,2.337207078933716,0.036259528943604645,2714,338759
2023-10-01,211,70.98561382293701,9810.788148870422,26.0,26,0.535409047754767,4.979645252227783,0.017712344724399077,15034,921226
2023-10-02,206,60.307342529296875,9793.204600572586,,,0.6116081816493286,5.112275123596191,0.06231857905115681,13899,782648
2023-10-03,117,13.051295280456543,5599.990030288696,,,0.673020255050756,2.475323438644409,0.03458202787727372,8359,169375
2023-10-04,98,18.784318923950195,4127.019977092743,5.0,5,1.7869548416619292,3.503401517868042,0.15836597081619158,6369,243776
2023-10-05,80,10.281221389770508,3310.2200021743774,1.0,1,0.6676186909738442,1.366370677947998,0.020053910742465885,4936,133426
