Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count
00:00:00.000+01:00,00:15:00.000+01:00,1,,19.239999771118164,,,0.9373278985631183,0.9373278985631183,0.9373278985631183,31
00:15:00.000+01:00,00:30:00.000+01:00,,,,,,,,,
00:30:00.000+01:00,00:45:00.000+01:00,,,14.510000228881836,,,1.1312317785524115,1.1312317785524115,1.1312317785524115,23
00:45:00.000+01:00,01:00:00.000+01:00,,,,,,,,,
01:00:00.000+01:00,01:15:00.000+01:00,,,,,,,,,
01:15:00.000+01:00,01:30:00.000+01:00,,,,,,,,,
01:30:00.000+01:00,01:45:00.000+01:00,,,,,,,,,
01:45:00.000+01:00,02:00:00.000+01:00,,,9.229999542236328,,,1.798616886138916,1.798616886138916,1.798616886138916,13
02:00:00.000+01:00,02:15:00.000+01:00,,,,,,,,,
02:15:00.000+01:00,02:30:00.000+01:00,,,,,,,,,
02:30:00.000+01:00,02:45:00.000+01:00,,,,,,,,,
02:45:00.000+01:00,03:00:00.000+01:00,,,,,,,,,
03:00:00.000+01:00,03:15:00.000+01:00,,,,,,,,,
03:15:00.000+01:00,03:30:00.000+01:00,,,,,,,,,
03:30:00.000+01:00,03:45:00.000+01:00,,,,,,,,,
03:45:00.000+01:00,04:00:00.000+01:00,,,,,,,,,
04:00:00.000+01:00,04:15:00.000+01:00,,,,,,,,,
04:15:00.000+01:00,04:30:00.000+01:00,,,,,,,,,
04:30:00.000+01:00,04:45:00.000+01:00,,,,,,,,,
04:45:00.000+01:00,05:00:00.000+01:00,,,,,,,,,
05:00:00.000+01:00,05:15:00.000+01:00,,,,,,,,,
05:15:00.000+01:00,05:30:00.000+01:00,,,,,,,,,
05:30:00.000+01:00,05:45:00.000+01:00,,,,,,,,,
05:45:00.000+01:00,06:00:00.000+01:00,,,,,,,,,
06:00:00.000+01:00,06:15:00.000+01:00,,,,,,,,,
06:15:00.000+01:00,06:30:00.000+01:00,,,,,,,,,
06:30:00.000+01:00,06:45:00.000+01:00,,,,,,,,,
06:45:00.000+01:00,07:00:00.000+01:00,,,,,,,,,
07:00:00.000+01:00,07:15:00.000+01:00,,,,,,,,,
07:15:00.000+01:00,07:30:00.000+01:00,,,,,,,,,
07:30:00.000+01:00,07:45:00.000+01:00,,,,,,,,,
07:45:00.000+01:00,08:00:00.000+01:00,,,,,,,,,
08:00:00.000+01:00,08:15:00.000+01:00,,,,,,,,,
08:15:00.000+01:00,08:30:00.000+01:00,,,,,,,,,
08:30:00.000+01:00,08:45:00.000+01:00,,,,,,,,,
08:45:00.000+01:00,09:00:00.000+01:00,,,,,,,,,
09:00:00.000+01:00,09:15:00.000+01:00,,,,,,,,,
09:15:00.000+01:00,09:30:00.000+01:00,,,,,,,,,
09:30:00.000+01:00,09:45:00.000+01:00,,,,,,,,,
09:45:00.000+01:00,10:00:00.000+01:00,,,,,,,,,
10:00:00.000+01:00,10:15:00.000+01:00,,,,,,,,,
10:15:00.000+01:00,10:30:00.000+01:00,,,,,,,,,
10:30:00.000+01:00,10:45:00.000+01:00,,,,,,,,,
10:45:00.000+01:00,11:00:00.000+01:00,,,,,,,,,
11:00:00.000+01:00,11:15:00.000+01:00,4,,213.31215577641632,,,,,,304
11:15:00.000+01:00,11:30:00.000+01:00,6,,300.25785154780243,,,0.8857676493073562,0.8857676493073562,0.8857676493073562,428
11:30:00.000+01:00,11:45:00.000+01:00,,,,,,,,,
11:45:00.000+01:00,12:00:00.000+01:00,5,,198.26197201355225,,,,,,313
12:00:00.000+01:00,12:15:00.000+01:00,12,,423.6192351427577,,,0.5934295286415623,0.7082927207159988,0.4785663365671257,669
12:15:00.000+01:00,12:30:00.000+01:00,6,,276.37101640942035,2.0,2,1.0948080426852689,1.0948080426852689,1.0948080426852689,426
12:30:00.000+01:00,12:45:00.000+01:00,7,,296.7478012298019,,,0.9854650608052272,1.13752610075614,0.8334040208543144,427
12:45:00.000+01:00,13:00:00.000+01:00,,,,,,,,,
13:00:00.000+01:00,13:15:00.000+01:00,,,5.429999828338623,,,1.0579473972320557,1.0579473972320557,1.0579473972320557,10
13:15:00.000+01:00,13:30:00.000+01:00,,,,,,,,,
13:30:00.000+01:00,13:45:00.000+01:00,1,,57.2400016784668,,,0.7437259981185899,0.7437259981185899,0.7437259981185899,85
13:45:00.000+01:00,14:00:00.000+01:00,,,,,,,,,
14:00:00.000+01:00,14:15:00.000+01:00,,,,,,,,,
14:15:00.000+01:00,14:30:00.000+01:00,,,,,,,,,
14:30:00.000+01:00,14:45:00.000+01:00,6,,180.8008196044485,,,0.4650202288610118,0.4650202288610118,0.4650202288610118,278
14:45:00.000+01:00,15:00:00.000+01:00,3,,96.71917322392063,,,3.059325933456421,3.059325933456421,3.059325933456421,153
15:00:00.000+01:00,15:15:00.000+01:00,,,,,,,,,
15:15:00.000+01:00,15:30:00.000+01:00,,,,,,,,,
15:30:00.000+01:00,15:45:00.000+01:00,,,28.885548484520083,,,0.05720242756361203,0.05720242756361203,0.05720242756361203,38
