Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
00:00:00.000+02:00,00:15:00.000+02:00,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,,18.05266495384249,,,,,,29,
10:15:00.000+02:00,10:30:00.000+02:00,7,,177.9973380979153,,,0.3898287838219322,0.3898287838219322,0.3898287838219322,291,
10:30:00.000+02:00,10:45:00.000+02:00,14,,707.8671011253773,,,0.7606488712728678,1.0025492349136254,0.5187485076321103,1024,
10:45:00.000+02:00,11:00:00.000+02:00,1,,23.26290375743525,,,,,,36,
11:00:00.000+02:00,11:15:00.000+02:00,,,20.020000457763672,,,1.1144948740863445,1.1144948740863445,1.1144948740863445,32,
11:15:00.000+02:00,11:30:00.000+02:00,8,,203.42201989956044,,,0.4145309143029053,0.4145309143029053,0.4145309143029053,324,
11:30:00.000+02:00,11:45:00.000+02:00,6,,208.78797155551766,,,0.6770609662830928,0.6770609662830928,0.6770609662830928,334,
11:45:00.000+02:00,12:00:00.000+02:00,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,,14.5600004196167,,,5.682440280914307,5.682440280914307,5.682440280914307,16,
12:15:00.000+02:00,12:30:00.000+02:00,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,8,,412.1899871826172,,,0.8715029940751163,0.961829832226995,0.7811761559232376,663,
13:00:00.000+02:00,13:15:00.000+02:00,1,4.745458602905273,84.4800033569336,,,1.3717648843343768,1.3717648843343768,1.3717648843343768,117,61585
13:15:00.000+02:00,13:30:00.000+02:00,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,7,,209.86364447701203,,,0.3587586251738697,0.429980716425193,0.28753653392254647,251,
13:45:00.000+02:00,14:00:00.000+02:00,2,9.292318344116211,120.87635338675751,1.0,1,0.8941006019078567,0.8941006019078567,0.8941006019078567,219,120593
14:00:00.000+02:00,14:15:00.000+02:00,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,,15.369999885559082,,,0.04642431703272066,0.04642431703272066,0.04642431703272066,20,
14:30:00.000+02:00,14:45:00.000+02:00,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,,27.151595309146323,,,0.06346801968146748,0.06346801968146748,0.06346801968146748,42,
15:00:00.000+02:00,15:15:00.000+02:00,9,,227.84840850555094,,,0.37464737260782754,0.37464737260782754,0.37464737260782754,380,
15:15:00.000+02:00,15:30:00.000+02:00,8,,328.4700012207031,,,0.72733858835904,0.72733858835904,0.72733858835904,464,
15:30:00.000+02:00,15:45:00.000+02:00,1,,46.150001525878906,,,0.47332320792441523,0.47332320792441523,0.47332320792441523,75,
15:45:00.000+02:00,16:00:00.000+02:00,,,24.583703417819983,,,0.1894734874899826,0.1894734874899826,0.1894734874899826,34,
16:00:00.000+02:00,16:15:00.000+02:00,,,7.506296734767906,,,,,,11,
16:15:00.000+02:00,16:30:00.000+02:00,,,,,,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,5,,193.07151014170734,,,0.5859956504904539,0.5859956504904539,0.5859956504904539,276,
16:45:00.000+02:00,17:00:00.000+02:00,9,,294.98039810186197,,,0.49739034429042656,0.49739034429042656,0.49739034429042656,451,
17:00:00.000+02:00,17:15:00.000+02:00,1,,158.0681097618018,,,0.27383490648691833,0.27383490648691833,0.27383490648691833,232,
17:15:00.000+02:00,17:30:00.000+02:00,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,,23.123650478977698,,,,,,32,
17:45:00.000+02:00,18:00:00.000+02:00,7,,402.1970231857622,,,0.45963953947043173,0.8020039976728193,0.1172750812680442,574,
18:00:00.000+02:00,18:15:00.000+02:00,3,,122.15932206279918,,,,,,175,
18:15:00.000+02:00,18:30:00.000+02:00,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,,15.390000343322754,,,0.8569195187955885,0.8569195187955885,0.8569195187955885,23,
19:00:00.000+02:00,19:15:00.000+02:00,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,1,,20.979999542236328,,,0.6289363050391109,0.6289363050391109,0.6289363050391109,33,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,,110.91999816894531,,,0.27891707630264806,0.27891707630264806,0.27891707630264806,162,
20:15:00.000+02:00,20:30:00.000+02:00,,,76.83999633789062,,,0.2376668937992985,0.2376668937992985,0.2376668937992985,104,
20:30:00.000+02:00,20:45:00.000+02:00,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,,33.540000915527344,,,0.2973638441547088,0.2973638441547088,0.2973638441547088,45,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,1,,27.670000076293945,,,0.7705390745969328,0.7705390745969328,0.7705390745969328,40,
22:00:00.000+02:00,22:15:00.000+02:00,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,,,,,,,,,
