Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
14:15:00.000+02:00,14:30:00.000+02:00,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,7,,191.14999389648438,,,0.3941452780877126,0.3941452780877126,0.3941452780877126,274,
15:30:00.000+02:00,15:45:00.000+02:00,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,9,,541.9000244140625,,,1.0401406881760935,1.0401406881760935,1.0401406881760935,702,
16:00:00.000+02:00,16:15:00.000+02:00,1,,21.863572827549806,,,,,,34,
16:15:00.000+02:00,16:30:00.000+02:00,2,,107.60642791631616,,,1.5650596463153987,2.1837213039398193,0.9463979886909781,169,
16:30:00.000+02:00,16:45:00.000+02:00,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,,2.8399999141693115,,,1.1054103374481201,1.1054103374481201,1.1054103374481201,4,
17:00:00.000+02:00,17:15:00.000+02:00,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,,142.35000610351562,,,0.24548042691869648,0.24548042691869648,0.24548042691869648,221,
17:30:00.000+02:00,17:45:00.000+02:00,3,,236.15068251066253,,,0.21115691555129437,0.21115691555129437,0.21115691555129437,350,
17:45:00.000+02:00,18:00:00.000+02:00,9,,339.96930497713043,,,0.5880417178995936,0.6208200354377119,0.5552634003614753,481,
18:00:00.000+02:00,18:15:00.000+02:00,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,7,,296.2891859611136,,,0.7538108719279937,0.7538108719279937,0.7538108719279937,411,
18:45:00.000+02:00,19:00:00.000+02:00,4,,179.22081808246548,,,0.4452057885477993,0.4452057885477993,0.4452057885477993,250,
19:00:00.000+02:00,19:15:00.000+02:00,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,,2.0,,,0.7792898416519165,0.7792898416519165,0.7792898416519165,4,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,,14.460000038146973,,,1.4087333492538037,1.4087333492538037,1.4087333492538037,18,
20:00:00.000+02:00,20:15:00.000+02:00,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,,45.811505469383604,,,,,,66,
20:30:00.000+02:00,20:45:00.000+02:00,3,,240.90451138719214,,,0.5353318412182376,0.7935108398134411,0.27715284262303413,351,
20:45:00.000+02:00,21:00:00.000+02:00,3,,119.76399412975235,,,,,,176,
21:00:00.000+02:00,21:15:00.000+02:00,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,,16.899999618530273,,,1.317281142831793,1.317281142831793,1.317281142831793,25,
22:00:00.000+02:00,22:15:00.000+02:00,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,,4.668314113931823,,,,,,8,
22:30:00.000+02:00,22:45:00.000+02:00,,,21.771686420125793,,,0.09825918654428313,0.09825918654428313,0.09825918654428313,39,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,,,,,,,,,
